# HANDGEPFLEGT - Startkalender Saison 1, alle zehn Ligen.
# Folgesaisons erzeugt spaeter ein CalendarService aus Regeln - eine
# 20-Saisons-Karriere von Hand vorzuhalten waere nicht tragbar.
# Streckenfolge je Liga ist gesetzt, die Kalenderwochen sind gleichmaessig
# ueber Woche 8 bis 46 verteilt (Konzept 13.1).
# format_id wiederholt den Wert aus leagues.csv, damit einzelne Laeufe
# spaeter ein abweichendes Format bekommen koennen (Sprintwochenenden).
season,tier,round,week,track_id,format_id
#
# ---- Tier 1: APEX World Championship (22 Rennen) ----
1,1,1,8,300001,1
1,1,2,10,300004,1
1,1,3,12,300006,1
1,1,4,13,300009,1
1,1,5,15,300003,1
1,1,6,17,300025,1
1,1,7,19,300008,1
1,1,8,21,300011,1
1,1,9,22,300026,1
1,1,10,24,300017,1
1,1,11,26,300002,1
1,1,12,28,300018,1
1,1,13,30,300005,1
1,1,14,32,300024,1
1,1,15,33,300020,1
1,1,16,35,300010,1
1,1,17,37,300015,1
1,1,18,39,300027,1
1,1,19,41,300016,1
1,1,20,42,300007,1
1,1,21,44,300029,1
1,1,22,46,300030,1
#
# ---- Tier 2: World Series (18 Rennen) ----
1,2,1,8,300003,2
1,2,2,10,300004,2
1,2,3,12,300011,2
1,2,4,15,300024,2
1,2,5,17,300006,2
1,2,6,19,300015,2
1,2,7,21,300025,2
1,2,8,24,300012,2
1,2,9,26,300005,2
1,2,10,28,300018,2
1,2,11,30,300002,2
1,2,12,33,300026,2
1,2,13,35,300029,2
1,2,14,37,300027,2
1,2,15,39,300013,2
1,2,16,42,300016,2
1,2,17,44,300020,2
1,2,18,46,300009,2
#
# ---- Tier 3: Intercontinental Cup (16 Rennen) ----
1,3,1,8,300004,2
1,3,2,11,300024,2
1,3,3,13,300011,2
1,3,4,16,300015,2
1,3,5,18,300003,2
1,3,6,21,300012,2
1,3,7,23,300005,2
1,3,8,26,300025,2
1,3,9,28,300013,2
1,3,10,31,300029,2
1,3,11,33,300018,2
1,3,12,36,300027,2
1,3,13,38,300001,2
1,3,14,41,300021,2
1,3,15,43,300020,2
1,3,16,46,300016,2
#
# ---- Tier 4: Continental Prime (14 Rennen) ----
1,4,1,8,300012,3
1,4,2,11,300024,3
1,4,3,14,300013,3
1,4,4,17,300015,3
1,4,5,20,300011,3
1,4,6,23,300003,3
1,4,7,26,300005,3
1,4,8,28,300029,3
1,4,9,31,300004,3
1,4,10,34,300021,3
1,4,11,37,300028,3
1,4,12,40,300022,3
1,4,13,43,300027,3
1,4,14,46,300019,3
#
# ---- Tier 5: Continental Series (12 Rennen) ----
1,5,1,8,300013,3
1,5,2,11,300012,3
1,5,3,15,300024,3
1,5,4,18,300015,3
1,5,5,22,300011,3
1,5,6,25,300029,3
1,5,7,29,300005,3
1,5,8,32,300021,3
1,5,9,36,300022,3
1,5,10,39,300028,3
1,5,11,43,300003,3
1,5,12,46,300019,3
#
# ---- Tier 6: Challenger Series (12 Rennen) ----
1,6,1,8,300013,3
1,6,2,11,300012,3
1,6,3,15,300015,3
1,6,4,18,300024,3
1,6,5,22,300021,3
1,6,6,25,300022,3
1,6,7,29,300028,3
1,6,8,32,300011,3
1,6,9,36,300029,3
1,6,10,39,300005,3
1,6,11,43,300023,3
1,6,12,46,300014,3
#
# ---- Tier 7: National Elite (10 Rennen) ----
1,7,1,8,300013,4
1,7,2,12,300012,4
1,7,3,16,300021,4
1,7,4,21,300022,4
1,7,5,25,300028,4
1,7,6,29,300023,4
1,7,7,33,300014,4
1,7,8,38,300015,4
1,7,9,42,300024,4
1,7,10,46,300029,4
#
# ---- Tier 8: National Series (10 Rennen) ----
1,8,1,8,300013,4
1,8,2,12,300021,4
1,8,3,16,300022,4
1,8,4,21,300028,4
1,8,5,25,300023,4
1,8,6,29,300014,4
1,8,7,33,300012,4
1,8,8,38,300015,4
1,8,9,42,300029,4
1,8,10,46,300024,4
#
# ---- Tier 9: Regional Cup (8 Rennen) ----
1,9,1,8,300013,5
1,9,2,13,300021,5
1,9,3,19,300022,5
1,9,4,24,300023,5
1,9,5,30,300028,5
1,9,6,35,300014,5
1,9,7,41,300012,5
1,9,8,46,300015,5
#
# ---- Tier 10: Rookie Cup (8 Rennen) ----
1,10,1,8,300013,5
1,10,2,13,300021,5
1,10,3,19,300023,5
1,10,4,24,300022,5
1,10,5,30,300014,5
1,10,6,35,300028,5
1,10,7,41,300012,5
1,10,8,46,300015,5
