# Reglement je Liga und Saison.
# Aero-Deckel (front_wing, rear_wing, floor) = Ligadeckel x Aero-Faktor,
# 1.00 in Tier 1 bis 0.70 in Tier 10. Die uebrigen sechs Gruppen tragen den
# vollen Ligadeckel. Herleitung: docs/DATENMODELL_APEX_M0.md, Abschnitt 6.1.
# Die Ligastufen liegen bewusst nur rund 8,5 Prozent auseinander: Bei den
# frueheren 13 bis 17 Prozent stand ein Aufsteiger so weit unter dem neuen
# Deckel, dass ihn keine Entwicklung mehr einholte (Konzept 18).
tier,season,regulation_label,cap_chassis,cap_front_wing,cap_rear_wing,cap_floor,cap_powertrain,cap_ers,cap_gearbox,cap_suspension,cap_brakes,min_weight_kg,cost_cap,test_days,tyre_supplier,atr_base,atr_step
1,1,Grundformel,1000,1000,1000,1000,1000,1000,1000,1000,1000,798,145000000,12,,1.35,0.05
2,1,Grundformel,915,897,897,897,915,915,915,915,915,810,70000000,10,,1.35,0.05
3,1,Grundformel,837,804,804,804,837,837,837,837,837,825,34000000,9,,1.35,0.04
4,1,Grundformel,766,712,712,712,766,766,766,766,766,840,17000000,8,,1.30,0.03
5,1,Grundformel,701,631,631,631,701,701,701,701,701,860,9000000,7,,1.30,0.03
6,1,Grundformel,641,558,558,558,641,641,641,641,641,880,4500000,6,,1.20,0.02
7,1,Grundformel,587,487,487,487,587,587,587,587,587,900,2200000,5,,1.00,0.00
8,1,Grundformel,537,424,424,424,537,537,537,537,537,920,1100000,4,,1.00,0.00
9,1,Grundformel,491,368,368,368,491,491,491,491,491,940,550000,3,,1.00,0.00
10,1,Grundformel,449,314,314,314,449,449,449,449,449,960,260000,2,,1.00,0.00
