# Punktesysteme im Langformat: eine Zeile je System und Position.
# Die systemweiten Spalten (system_name, bonus_*, fastest_lap_max_position,
# min_distance_pct) wiederholen sich je Zeile und muessen innerhalb eines
# Systems identisch sein - der Bootstrapper prueft das.
# System 1 = Tier 1-3, System 2 = Tier 4-10.
points_system_id,system_name,position,points,bonus_pole,bonus_fastest_lap,fastest_lap_max_position,min_distance_pct
1,Volle Skala,1,25,1,1,10,0.75
1,Volle Skala,2,18,1,1,10,0.75
1,Volle Skala,3,15,1,1,10,0.75
1,Volle Skala,4,12,1,1,10,0.75
1,Volle Skala,5,10,1,1,10,0.75
1,Volle Skala,6,8,1,1,10,0.75
1,Volle Skala,7,6,1,1,10,0.75
1,Volle Skala,8,4,1,1,10,0.75
1,Volle Skala,9,2,1,1,10,0.75
1,Volle Skala,10,1,1,1,10,0.75
2,Flache Skala,1,20,1,1,10,0.75
2,Flache Skala,2,16,1,1,10,0.75
2,Flache Skala,3,13,1,1,10,0.75
2,Flache Skala,4,11,1,1,10,0.75
2,Flache Skala,5,9,1,1,10,0.75
2,Flache Skala,6,7,1,1,10,0.75
2,Flache Skala,7,5,1,1,10,0.75
2,Flache Skala,8,3,1,1,10,0.75
2,Flache Skala,9,2,1,1,10,0.75
2,Flache Skala,10,1,1,1,10,0.75
3,Sprintwertung,1,8,0,0,8,0.75
3,Sprintwertung,2,7,0,0,8,0.75
3,Sprintwertung,3,6,0,0,8,0.75
3,Sprintwertung,4,5,0,0,8,0.75
3,Sprintwertung,5,4,0,0,8,0.75
3,Sprintwertung,6,3,0,0,8,0.75
3,Sprintwertung,7,2,0,0,8,0.75
3,Sprintwertung,8,1,0,0,8,0.75
