# HANDGEPFLEGT - 167 Teams.
# team_id kodiert das START-Tier als Lesehilfe (1001 = Tier 1, lfd. Nr. 1).
# Nach dem ersten Saisonwechsel ist diese Kodierung semantisch falsch und
# darf im Code nie als Tier-Quelle dienen.
# Sortierung nach team_id ist verbindlich, damit Diffs lesbar bleiben.
# Prestige-Baender und Archetyp-Mischung je Liga:
#   docs/DATENMODELL_APEX_M0.md, Abschnitte 15.3 und 15.5.
# history_best_tier < start_tier kennzeichnet gefallene Riesen - erwuenscht,
# etwa jedes zehnte Team in Tier 5-9.
team_id,name,short_name,code,country,city,founded_year,start_tier,colour_primary,colour_secondary,ai_archetype,prestige,start_capital,engine_supplier_id,is_works_team,history_titles,history_best_tier,flavour
#
# ---- Tier 1: APEX World Championship (11) ----
1001,Scuderia Aurelia,Aurelia,AUR,ITA,Maranello,1929,1,#B30000,#F2C200,works_team,96,42000000,,1,14,1,"Der Maßstab. Vierzehn Titel, und jede Saison ohne einen davon gilt als Krise."
1002,Northgate Racing,Northgate,NRD,GBR,Brackley,1968,1,#0B3D2E,#C9F224,works_team,88,31000000,,1,6,1,"Ingenieursgetrieben, unaufgeregt, seit dreißig Jahren nie schlechter als Rang sechs."
1003,Brandwerk Motorsport,Brandwerk,BWK,DEU,Stuttgart,1954,1,#0A0A0A,#C8102E,works_team,91,36000000,,1,9,1,"Werksdisziplin bis in die Boxengasse. Wer hier zwei Zehntel verliert, muss es begründen."
1004,Kanto Heavy Racing,Kanto,KHR,JPN,Tochigi,1964,1,#FFFFFF,#D50032,works_team,86,29000000,,1,4,1,"Baut Motoren, seit es die Serie gibt. Das Chassis war lange nur Beiwerk – bis 2019."
1005,Vanguard Autosport,Vanguard,VGD,USA,Indianapolis,1946,1,#002B5C,#E8A33D,traditional,83,24000000,,0,5,1,"Amerikas letzte große Rennmarke. Lebt vom Mythos und einem Sponsorenvertrag von 1978."
1006,Château Blanc Racing,Château Blanc,CHB,FRA,Viry,1977,1,#0F2A5F,#F5F5F5,traditional,80,21000000,,0,3,1,"Elegant, politisch bestens vernetzt, technisch seit drei Reglementzyklen im Rückstand."
1007,Alborada Racing,Alborada,ALB,ESP,Barcelona,1985,1,#B8860B,#1C1C3C,traditional,79,20000000,,0,2,1,"Kam als Außenseiter, blieb als Institution. Fährt am besten, wenn es niemand erwartet."
1008,Helix Dynamics,Helix,HLX,GBR,Oxford,2011,1,#00A3A3,#141414,tech_startup,82,26000000,,0,1,1,"Aus einem Windkanal-Startup entstanden. Gewann den Titel im vierten Jahr und danach nie wieder."
